Epoch,TrainLoss,TrainAcc,ValLoss,ValAcc
1,2.3158,0.1642,1.9308,0.3118
2,2.0643,0.2602,1.7411,0.4193
3,1.9829,0.3117,1.6067,0.4694
4,1.8873,0.3719,1.4880,0.5441
5,1.8131,0.4169,1.6263,0.4957
6,1.7179,0.4694,1.3264,0.6281
7,1.6942,0.4818,1.3220,0.6507
8,1.6046,0.5271,1.3086,0.6420
9,1.5964,0.5348,1.1406,0.7216
10,1.5219,0.5697,1.0875,0.7568
11,1.5126,0.5745,1.0684,0.7671
12,1.4739,0.5924,1.1144,0.7340
13,1.4581,0.5989,1.0797,0.7437
14,1.5064,0.5756,1.1495,0.7218
15,1.4524,0.6034,0.9883,0.7948
16,1.4331,0.6104,0.9929,0.8034
17,1.4267,0.6156,0.9571,0.8050
18,1.4328,0.6091,0.9745,0.8115
19,1.4132,0.6197,0.9802,0.8072
20,1.4045,0.6251,0.9144,0.8205
21,1.3841,0.6319,0.9678,0.8219
22,1.3651,0.6393,0.9575,0.8049
23,1.3456,0.6501,0.9393,0.8238
24,1.3548,0.6442,0.8740,0.8472
25,1.3777,0.6385,0.8472,0.8625
26,1.3020,0.6691,0.9276,0.8149
27,1.3278,0.6596,0.8349,0.8728
28,1.3161,0.6659,0.8541,0.8500
29,1.2933,0.6733,0.8307,0.8641
30,1.2992,0.6699,0.7918,0.8877
31,1.2809,0.6765,0.8247,0.8764
32,1.2751,0.6828,0.7705,0.8943
33,1.2765,0.6782,0.8356,0.8885
34,1.2297,0.7008,0.7512,0.9057
35,1.2201,0.7026,0.8048,0.8937
36,1.2307,0.6975,0.7441,0.9060
37,1.2321,0.6984,0.7462,0.9106
38,1.2258,0.7017,0.7617,0.8991
39,1.1918,0.7157,0.7229,0.9184
40,1.1676,0.7272,0.7119,0.9273
41,1.1459,0.7364,0.7082,0.9322
42,1.1898,0.7175,0.7315,0.9213
43,1.2077,0.7105,0.7580,0.9080
44,1.2611,0.6835,0.7875,0.8859
45,1.2990,0.6705,0.8878,0.8339
46,1.3326,0.6556,0.9078,0.8398
47,1.3642,0.6430,0.9453,0.8216
48,1.3887,0.6310,0.9068,0.8353
49,1.3981,0.6296,0.9567,0.8221
50,1.3855,0.6360,0.8750,0.8384
